35.4,NaN
NaN,NaN
NaN,NaN
34.8,2.66
NaN,NaN
30.8,NaN
29.1,NaN
NaN,NaN
40.7,2.8
NaN,2.56
32.5,2.62
NaN,1.74
NaN,2.61
NaN,NaN
32.9,2.14
NaN,NaN
NaN,NaN
38.6,2.84
35.4,2.45
35.5,NaN
37.1,NaN
40.9,2.84
32.5,NaN
36.9,NaN
47.2,NaN
38.5,NaN
NaN,2.1
NaN,2.19
36.3,2.58
NaN,2
NaN,2.54
NaN,2.11
32.2,NaN
NaN,3.23
NaN,NaN
36.7,2.76
NaN,2.33
33.3,2.62
NaN,2.63
33.1,NaN
33.1,2.31
38.8,NaN
36,NaN
32.6,2.21
NaN,NaN
NaN,NaN
NaN,2.31
38.6,NaN
NaN,2.6
20.4,1.38
28.8,1.89
34.8,2.3
NaN,NaN
NaN,2.66
30.4,NaN
NaN,2.69
32,NaN
29.8,NaN
29,NaN
NaN,2.78
36,NaN
31.5,2.93
39.4,NaN
NaN,NaN
36.3,NaN
NaN,2.17
NaN,2.87
NaN,NaN
36.1,NaN
21.4,1.33
NaN,2.52
NaN,NaN
NaN,2.73
NaN,2.57
37.1,2.6
36.6,NaN
28.6,2.04
15.9,2.31
33.4,NaN
19.8,3.05
NaN,NaN
19.7,NaN
NaN,2.92
35.8,NaN
NaN,NaN
NaN,NaN
31.3,NaN
32.7,NaN
NaN,NaN
NaN,NaN
NaN,2.58
33.4,NaN
NaN,NaN
NaN,1.99
21.6,NaN
28.3,2.83
25.6,2.63
35.9,NaN
NaN,NaN
31.6,NaN
31.4,2.25
NaN,2.22
NaN,NaN
NaN,3.03
32.4,2.28
36.1,2.56
NaN,NaN
NaN,2.44
40.6,NaN
NaN,NaN
36.3,NaN
34.6,2.6
NaN,NaN
NaN,NaN
NaN,NaN
29.8,1.64
NaN,2.59
NaN,NaN
34.4,NaN
34.8,NaN
27.1,NaN
NaN,NaN
27.2,1.85
37.7,NaN
NaN,NaN
37.7,2.62
NaN,2.94
35.6,NaN
NaN,NaN
28.2,2.29
26.8,3.49
37.3,NaN
NaN,1.89
28.5,1.77
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
19.9,NaN
29.4,3.29
NaN,2.48
NaN,NaN
31.7,NaN
25,1.6
NaN,NaN
NaN,NaN
NaN,2.13
NaN,NaN
NaN,3.92
36.9,2.63
NaN,NaN
16.3,NaN
19.8,1.31
38.1,2.63
33.7,2.53
NaN,NaN
NaN,2.78
28.4,NaN
NaN,NaN
NaN,NaN
34.4,2.81
33.2,NaN
NaN,NaN
NaN,NaN
31.7,2.28
NaN,2.72
35,2.58
NaN,NaN
NaN,2.85
NaN,NaN
NaN,NaN
31.6,NaN
24.3,NaN
NaN,3.12
NaN,2.54
32.5,NaN
NaN,2.23
NaN,NaN
37.4,NaN
NaN,NaN
NaN,2.65
NaN,2.45
NaN,NaN
38.8,2.72
18.3,2.39
NaN,3.12
NaN,3.51
NaN,2.67
NaN,2.36
27.6,NaN
36,NaN
NaN,NaN
NaN,NaN
36.4,NaN
NaN,NaN
NaN,1.2
37.3,NaN
NaN,NaN
34.2,NaN
24.7,NaN
NaN,NaN
NaN,1.96
NaN,2.52
NaN,2.65
39.1,2.84
29.2,2.99
NaN,NaN
NaN,2.59
NaN,2.57
18.8,NaN
19,2.4
21.4,NaN
29.7,NaN
31.5,2.88
NaN,NaN
29.9,2.65
35.1,NaN
30.2,2.7
34.6,NaN
NaN,3.19
31.4,3.46
35.6,NaN
NaN,3.05
NaN,1.3
13,2.96
14.3,2.84
NaN,NaN
16.5,NaN
20.2,NaN
NaN,4.05
NaN,3.62
20.2,1.3
NaN,NaN
NaN,NaN
NaN,NaN
15.7,NaN
NaN,3.16
20.2,2.55
NaN,NaN
26.2,NaN
NaN,NaN
35,NaN
NaN,NaN
NaN,3.15
NaN,2.38
24.1,NaN
38.2,NaN
NaN,NaN
31.3,NaN
18.8,NaN
23,NaN
29.7,NaN
NaN,3.14
35.4,NaN
27.3,NaN
NaN,2.74
39.9,2.69
35.8,NaN
NaN,2.64
NaN,NaN
36.5,2.98
NaN,NaN
NaN,2.7
NaN,3.09
34.8,2.57
36.5,2.59
NaN,NaN
NaN,NaN
NaN,2.58
NaN,NaN
NaN,NaN
40.4,NaN
37.3,2.68
30.6,2.83
39,NaN
NaN,NaN
42.5,2.66
NaN,NaN
26.6,NaN
31.5,NaN
NaN,2.46
NaN,2.49
NaN,2.51
40.3,2.39
NaN,2.42
NaN,2.34
32.8,2.19
NaN,NaN
NaN,NaN
NaN,3.34
NaN,2.85
NaN,NaN
33.3,2.56
NaN,NaN
34.9,NaN
28.9,NaN
31,2.62
NaN,NaN
NaN,2.47
NaN,NaN
NaN,NaN
NaN,NaN
29.3,2.71
NaN,NaN
NaN,NaN
29.7,NaN
36.9,3.03
NaN,2.48
NaN,NaN
NaN,3.26
36.8,NaN
NaN,3.01
36.1,NaN
39.3,NaN
28.1,NaN
38.4,2.53
NaN,2.43
NaN,2.48
NaN,3.26
34.9,NaN
42.2,NaN
37.6,2.55
NaN,2.66
24.2,2.25
32.2,2.4
31.6,3.38
NaN,2.8
NaN,NaN
NaN,NaN
33.1,NaN
NaN,NaN
NaN,2.95
18.9,NaN
NaN,NaN
34.6,NaN
33.1,2.67
38,2.53
NaN,NaN
20.9,NaN
37.9,2.8
34,3.22
NaN,NaN
20.8,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,2.67
NaN,NaN
42,NaN
31.5,2.73
NaN,2.95
NaN,2.06
34.3,NaN
37.5,NaN
19,NaN
29.4,2.38
NaN,2.9
NaN,2.58
NaN,NaN
NaN,2.93
34.3,NaN
38,NaN
36.9,NaN
31.4,NaN
NaN,2.16
36.2,NaN
31.2,2.28
33,NaN
NaN,NaN
35.7,NaN
32,NaN
18.2,2.48
41,2.76
36.2,2.28
NaN,NaN
41.2,NaN
NaN,NaN
38.7,2.67
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,2.25
37,NaN
35.7,NaN
NaN,NaN
38.5,NaN
33.9,3.14
37.4,NaN
NaN,2.92
NaN,3.13
33.1,2.89
38.3,3.08
33,2.44
29.5,2.71
NaN,NaN
NaN,NaN
15.8,NaN
NaN,3.19
NaN,2.66
19.2,2.87
NaN,NaN
32.7,NaN
NaN,2.88
33.1,2.72
35.9,2.66
29.5,NaN
NaN,NaN
NaN,1.96
NaN,2.57
NaN,3.42
NaN,2.47
NaN,2.49
NaN,NaN
27.2,NaN
NaN,NaN
NaN,NaN
31.4,NaN
NaN,NaN
NaN,2.75
NaN,2.99
24.1,2.9
32.4,NaN
NaN,2.42
31.1,NaN
27.8,NaN
NaN,2.07
34.2,2.66
31.2,2.4
33.1,NaN
32.5,2.59
29.9,2.09
NaN,NaN
27.9,NaN
8.3,2.78
NaN,2.97
NaN,2.85
NaN,NaN
NaN,NaN
NaN,2.56
NaN,NaN
34.7,2.64
33.7,2.53
NaN,2.41
38.1,NaN
NaN,3.22
NaN,NaN
NaN,2.88
NaN,2.51
NaN,NaN
33.2,2.39
NaN,3.13
17.9,2.52
NaN,NaN
37.9,3.13
36.5,NaN
34.4,2.65
NaN,NaN
42.4,NaN
NaN,NaN
NaN,1.49
21.3,1.31
NaN,2.75
29.3,NaN
29.2,3.17
23.8,NaN
NaN,NaN
23.3,NaN
23.4,NaN
36.8,NaN
NaN,NaN
NaN,2.49
NaN,NaN
NaN,2.7
NaN,NaN
34.7,NaN
NaN,NaN
14.5,1.45
NaN,NaN
19.8,1.28
21,NaN
NaN,NaN
30,NaN
NaN,3.11
NaN,NaN
20.4,NaN
23.7,NaN
23.7,1.22
NaN,2.89
32.3,NaN
36.4,2.86
NaN,NaN
NaN,2.64
NaN,3.09
NaN,2.27
NaN,3.64
23.6,NaN
NaN,2.96
NaN,NaN
30.9,NaN
41.3,2.98
NaN,3
NaN,NaN
NaN,NaN
NaN,2.83
27.6,NaN
NaN,2.24
18.9,1.43
37.2,NaN
37.7,2.76
NaN,NaN
36.9,NaN
NaN,1.52
23.1,NaN
NaN,NaN
NaN,NaN
20.8,2.61
18,NaN
11.7,3.76
20.1,2.13
NaN,2.09
33.7,NaN
31.9,2.12
NaN,2.33
NaN,NaN
28.9,2.84
NaN,2.8
NaN,NaN
27.8,NaN
NaN,NaN
NaN,NaN
NaN,3.19
NaN,1.48
18.7,1.2
18.5,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
20.6,NaN
NaN,1.38
35.3,2.72
NaN,NaN
32.5,2.52
NaN,NaN
23.2,1.29
36.1,2.93
NaN,2.8
36.4,NaN
22.3,NaN
22.6,NaN
35.2,NaN
NaN,1.22
NaN,NaN
23.7,1.24
NaN,3.32
34,NaN
NaN,1.77
NaN,1.37
NaN,NaN
NaN,1.4
21.1,1.53
24.2,NaN
22.6,1.56
21.6,1.36
36.3,NaN
35.7,2.77
35.3,3.05
NaN,3.66
NaN,3.59
